"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Petrick","Ben","petribe01",27,2004,0.62,276.00,247.00,36.00,61.00,13.00,2.00,9.00,33.00,2.00,2.00,24.00,58.00,2.00,2.00,1.00,2.00,5.00
"Phelps","Josh","phelpjo01",26,2004,0.74,455.00,404.00,61.00,114.00,23.00,2.00,19.00,71.00,2.00,2.00,38.00,106.00,2.00,11.00,1.00,1.00,11.00
"Phillips","Brandon","phillbr01",23,2004,0.64,400.00,367.00,44.00,88.00,20.00,2.00,8.00,41.00,5.00,4.00,23.00,70.00,1.00,4.00,4.00,2.00,10.00
"Phillips","Jason","phillja04",28,2004,0.66,429.00,381.00,48.00,111.00,22.00,1.00,11.00,54.00,2.00,1.00,37.00,53.00,3.00,8.00,1.00,2.00,16.00
"Piatt","Adam","piattad01",28,2004,0.58,287.00,257.00,31.00,63.00,17.00,1.00,9.00,33.00,3.00,2.00,24.00,62.00,1.00,2.00,1.00,3.00,5.00
"Piazza","Mike","piazzmi01",36,2004,0.81,391.00,345.00,51.00,96.00,18.00,1.00,19.00,59.00,1.00,1.00,42.00,59.00,7.00,2.00,0.00,2.00,15.00
"Pickering","Calvin","pickeca01",28,2004,0.13,200.00,177.00,23.00,48.00,9.00,1.00,6.00,24.00,2.00,1.00,19.00,34.00,1.00,2.00,1.00,1.00,5.00
"Pierre","Juan","pierrju01",27,2004,0.87,637.00,576.00,90.00,176.00,24.00,6.00,3.00,44.00,42.00,12.00,42.00,43.00,1.00,7.00,10.00,2.00,8.00
"Pierzynski","A.J.","pierzaj01",28,2004,0.83,513.00,472.00,62.00,142.00,34.00,4.00,10.00,65.00,3.00,3.00,24.00,64.00,6.00,11.00,2.00,4.00,12.00
"Podsednik","Scott","podsesc01",28,2004,0.73,516.00,457.00,77.00,138.00,24.00,6.00,10.00,54.00,27.00,7.00,47.00,77.00,2.00,4.00,5.00,3.00,10.00
"Polanco","Placido","polanpl01",29,2004,0.85,536.00,486.00,75.00,141.00,27.00,3.00,10.00,51.00,9.00,2.00,32.00,43.00,1.00,7.00,9.00,2.00,15.00
"Porter","Bo","portebo03",32,2004,0.20,200.00,178.00,27.00,46.00,9.00,2.00,5.00,21.00,3.00,2.00,17.00,39.00,1.00,2.00,1.00,2.00,4.00
"Porter","Colin","porteco01",29,2004,0.12,216.00,195.00,28.00,50.00,9.00,1.00,5.00,23.00,3.00,1.00,17.00,44.00,1.00,2.00,1.00,1.00,5.00
"Posada","Jorge","posadjo01",33,2004,0.85,554.00,473.00,71.00,128.00,28.00,1.00,22.00,89.00,2.00,3.00,71.00,115.00,7.00,6.00,0.00,4.00,15.00
